Player,role
Sandro Wagner,Forward
Aytaç Sulu,Defender
Florian Jungwirth,Defender
Slobodan Rajković,Defender
Peter Niemeyer,Defender
Luca Caldirola,Defender
Jérôme Gondorf,Midfielder
Konstantin Rausch,Midfielder
Mario Vrančić,Midfielder
Júnior Díaz,Defender
Tobias Kempe,Midfielder
Christian Mathenia,Goalkeeper
Jan Rosenthal,Midfielder
György Garics,Defender
Dominik Stroh-Engel,Forward
Marco Sailer,Forward
Fabian Holland,Midfielder
Felix Platte,Forward
Marcel Heller,Midfielder
Benjamin Gorka,Defender
Sandro Sirigu,Defender
Łukasz Załuska,Goalkeeper
