Player,role
Hiroshi Kiyotake,Midfielder
Salif Sané,Defender
Ron-Robert Zieler,Goalkeeper
Ceyhun Gülselam,Midfielder
Artur Sobiech,Forward
Kenan Karaman,Forward
Hugo Almeida,Forward
Alexander Milošević,Defender
Hotaru Yamaguchi,Midfielder
Miiko Albornoz,Midfielder
Marcelo,Defender
Andre Hoffmann,Defender
Iver Fossum,Midfielder
Manuel Schmiedebach,Midfielder
Noah Joel Sarenren Bazee,Forward
Waldemar Anton,Defender
Leon Andreasen,Midfielder
Christian Schulz,Defender
Hiroki Sakai,Defender
Allan Saint-Maximin,Forward
Mevlüt Erdinç,Forward
Felix Klaus,Midfielder
Ádám Szalai,Forward
Uffe Bech,Forward
Charlison Benschop,Forward
Edgar Prib,Midfielder
Oliver Sorg,Defender
Tim Dierßen,Forward
Fynn Arkenberg,Defender
Mike-Steven Bähre,Midfielder
Felipe Trevizan,Defender
Valmir Sulejmani,Midfielder
Marius Wolf,Defender
