Player,role
Marcel Risse,Midfielder
Mërgim Mavraj,Defender
Jonas Hector,Defender
Anthony Modeste,Forward
Dominic Maroh,Defender
Frederik Sørensen,Defender
Dominique Heintz,Defender
Timo Horn,Goalkeeper
Leonardo Bittencourt,Midfielder
Yannick Gerhardt,Midfielder
Marcel Hartel,Midfielder
Kevin Vogt,Defender
Simon Zoller,Forward
Yuya Osako,Forward
Filip Mladenović,Midfielder
Matthias Lehmann,Midfielder
Miloš Jojić,Midfielder
Philipp Hosiner,Forward
Kazuki Nagasawa,Midfielder
Paweł Olkowski,Midfielder
Dušan Švento,Midfielder
Lukas Klünter,Defender
Thomas Kessler,Goalkeeper
