Player,role
Lars Bender,Defender
Hakan Çalhanoğlu,Midfielder
Benjamin Henrichs,Midfielder
Javier Hernández,Forward
Ömer Toprak,Defender
Jonathan Tah,Defender
Kevin Kampl,Midfielder
Charles Aránguiz,Midfielder
Stefan Kießling,Forward
Bernd Leno,Goalkeeper
Karim Bellarabi,Midfielder
Christoph Kramer,Midfielder
Wendell,Defender
Vladlen Yurchenko,Midfielder
Kyriakos Papadopoulos,Defender
Admir Mehmedi,Midfielder
Julian Brandt,Midfielder
Marlon Frey,Midfielder
André Ramalho,Defender
Sebastian Boenisch,Defender
Robbie Kruse,Midfielder
Tin Jedvaj,Defender
Roberto Hilbert,Defender
David Yelldell,Goalkeeper
Dario Krešić,Goalkeeper
Heung-min Son,Forward
