Player,role
Vincenzo Grifo,Midfielder
Çağlar Söyüncü,Defender
Nils Petersen,Forward
Lukas Kübler,Defender
Mike Frantz,Midfielder
Marc-Oliver Kempf,Defender
Pascal Stenzel,Defender
Manuel Gulde,Defender
Maximilian Philipp,Forward
Florian Niederlechner,Forward
Nicolas Höfler,Midfielder
Jonas Meffert,Midfielder
Karim Guédé,Forward
Janik Haberer,Midfielder
Alexander Schwolow,Goalkeeper
Amir Abrashi,Midfielder
Julian Schuster,Defender
Håvard Nielsen,Forward
Marc Torrejón,Defender
Onur Bulut,Defender
Jonas Föhrenbach,Defender
Georg Niedermeier,Defender
Aleksandar Ignjovski,Defender
Mats Møller Dæhli,Midfielder
Christian Günter,Defender
