Player,role
Pascal Groß,Midfielder
Markus Suttner,Defender
Almog Cohen,Midfielder
Romain Brégerie,Defender
Marvin Matip,Defender
Florent Hadergjonaj,Defender
Mathew Leckie,Midfielder
Darío Lezcano,Forward
Marcel Tisserand,Defender
Tobias Levels,Defender
Anthony Jung,Midfielder
Roger Bernardo,Midfielder
Alfredo Morales,Midfielder
Lukas Hinterseer,Forward
Sonny Kittel,Forward
Martin Hansen,Goalkeeper
Max Christiansen,Midfielder
Ørjan Nyland,Goalkeeper
Stefan Lex,Forward
Moritz Hartmann,Forward
Robert Leipertz,Midfielder
Maurice Multhaup,Midfielder
