Player,role
Johannes Geis,Midfielder
Thilo Kehrer,Defender
Benedikt Höwedes,Defender
Naldo,Defender
Nabil Bentaleb,Midfielder
Sead Kolašinac,Defender
Breel Embolo,Forward
Leon Goretzka,Midfielder
Matija Nastasić,Defender
Holger Badstuber,Defender
Ralf Fährmann,Goalkeeper
Guido Burgstaller,Forward
Dennis Aogo,Midfielder
Alessandro Schöpf,Midfielder
Eric Maxim Choupo-Moting,Forward
Coke,Defender
Franco Di Santo,Forward
Abdul Baba Rahman,Defender
Daniel Caligiuri,Midfielder
Max Meyer,Midfielder
Benjamin Stambouli,Midfielder
Yevhen Konoplyanka,Forward
Donis Avdijaj,Midfielder
Sascha Riether,Defender
Klaas-Jan Huntelaar,Forward
Fabian Reese,Midfielder
Junior Caiçara,Defender
Weston McKennie,Midfielder
Bernard Tekpetey,Forward
