Player,role
Aaron Hunt,Midfielder
Lewis Holtby,Midfielder
Douglas Santos,Defender
Kyriakos Papadopoulos,Defender
Dennis Diekmeier,Defender
Nicolai Müller,Midfielder
Mërgim Mavraj,Defender
Vasilije Janjičić,Midfielder
Albin Ekdal,Midfielder
Matti Steinmann,Midfielder
Julian Pollersbeck,Goalkeeper
Gideon Jung,Defender
Walace,Midfielder
Gotoku Sakai,Defender
Stephan Ambrosius,Defender
Mohamed Gouaida,Forward
Filip Kostić,Midfielder
André Hahn,Midfielder
Luca Waldschmidt,Forward
Sejad Salihović,Midfielder
Sven Schipplock,Forward
Jann-Fiete Arp,Forward
Tatsuya Ito,Forward
Rick Van Drongelen,Defender
Bobby Wood,Forward
Christian Mathenia,Goalkeeper
Bakery Jatta,Forward
Törles Knöll,Forward
Josha Vagnoman,Defender
