Player,role
Lars Stindl,Midfielder
Jannik Vestergaard,Defender
Raffael,Forward
Thorgan Hazard,Midfielder
Matthias Ginter,Defender
Tobias Strobl,Midfielder
Vincenzo Grifo,Midfielder
Reece Oxford,Defender
Christoph Kramer,Midfielder
Yann Sommer,Goalkeeper
Oscar Wendt,Defender
Nico Elvedi,Defender
Florian Mayer,Defender
Ibrahima Traoré,Forward
Denis Zakaria,Midfielder
László Bénes,Midfielder
Michaël Cuisance,Midfielder
Patrick Herrmann,Forward
Josip Drmić,Forward
Fabian Johnson,Midfielder
Jonas Hofmann,Midfielder
Julio Villalba,Forward
Tobias Sippel,Goalkeeper
Raúl Bobadilla,Forward
Tony Jantschke,Defender
Mandela Egbo,Defender
