Player,role
Benjamin Pavard,Defender
Timo Baumgartl,Defender
Ron-Robert Zieler,Goalkeeper
Erik Thommy,Midfielder
Holger Badstuber,Defender
Santiago Ascacibar,Midfielder
Anastasios Donis,Forward
Christian Gentner,Midfielder
Mario Gómez,Forward
Dennis Aogo,Midfielder
Berkay Özcan,Midfielder
Andreas Beck,Midfielder
Emiliano Insúa,Defender
Marcin Kamiński,Defender
Daniel Ginczek,Forward
Chadrac Akolo,Forward
Ailton,Defender
Orel Mangala,Midfielder
Takuma Asano,Forward
Matthias Zimmermann,Defender
Ebenezer Ofori,Midfielder
Jacob Bruun Larsen,Forward
Dženis Burnić,Midfielder
