Player,role
Joshua Kimmich,Midfielder
Thiago Alcântara,Midfielder
James Rodríguez,Midfielder
Robert Lewandowski,Forward
Thomas Müller,Midfielder
Mats Hummels,Defender
Kingsley Coman,Midfielder
Niklas Süle,Defender
David Alaba,Defender
Jérôme Boateng,Defender
Serge Gnabry,Midfielder
Leon Goretzka,Midfielder
Javi Martínez,Midfielder
Arjen Robben,Midfielder
Corentin Tolisso,Midfielder
Rafinha,Defender
Franck Ribéry,Midfielder
Renato Sanches,Midfielder
Sven Ulreich,Goalkeeper
Manuel Neuer,Goalkeeper
Sandro Wagner,Forward
Alphonso Davies,Defender
