Player,role
Leandro Barreiro,Midfielder
Aarón Martín,Midfielder
Niko Bungert,Defender
Karim Onisiwo,Forward
Jean-Philippe Mateta,Forward
Alexander Hack,Defender
Jean-Paul Boëtius,Midfielder
Robin Zentner,Goalkeeper
Giulio Donati,Defender
Pierre Kunde,Midfielder
Daniel Brosinski,Midfielder
Stefan Bell,Defender
Anthony Ujah,Forward
Moussa Niakhaté,Defender
Phillipp Mwene,Defender
Alexandru Maxim,Midfielder
Danny Latza,Midfielder
Robin Quaison,Forward
Jean-Philippe Gbamin,Midfielder
Ridle Baku,Defender
Gerrit Holtmann,Forward
Florian Müller,Goalkeeper
Issah Abass,Forward
Levin Öztunali,Midfielder
Ahmet Gürleyen,Defender
Jonathan Burkardt,Forward
Gaëtan Bussmann,Defender
Pablo De Blasis,Midfielder
