Player,role
Ewerton,Defender
Matheus Pereira,Midfielder
Georg Margreitter,Defender
Enrico Valentini,Defender
Christian Mathenia,Goalkeeper
Sebastian Kerk,Midfielder
Ondřej Petrák,Midfielder
Lukas Mühl,Defender
Mikael Ishak,Forward
Patrick Erras,Midfielder
Adam Zreľák,Forward
Robert Bauer,Defender
Tim Leibold,Defender
Yuya Kubo,Midfielder
Törles Knöll,Forward
Eduard Löwen,Midfielder
Alexander Fuchs,Midfielder
Hanno Behrens,Midfielder
Federico Palacios,Midfielder
Edgar Salli,Midfielder
Ivo Iličević,Midfielder
Timothy Tillman,Midfielder
Kevin Goden,Defender
Fabian Bredlow,Goalkeeper
Virgil Misidjan,Midfielder
Lukas Jäger,Midfielder
Simon Rhein,Midfielder
