Player,role
Philipp Max,Defender
Florian Niederlechner,Forward
Felix Uduokhai,Defender
Andreas Luthe,Goalkeeper
Tin Jedvaj,Defender
Jeffrey Gouweleeuw,Defender
Daniel Baier,Midfielder
Raphael Framberger,Defender
Sergio Córdova,Forward
Alfreð Finnbogason,Forward
Rani Khedira,Midfielder
Iago,Defender
Carlos Gruezo,Midfielder
Jan Morávek,Midfielder
Eduard Löwen,Midfielder
Julian Schieber,Forward
Tomáš Koubek,Goalkeeper
Ruben Vargas,Midfielder
Noah Joel Sarenren Bazee,Forward
Mads Pedersen,Defender
Marek Suchý,Defender
Fredrik Jensen,Midfielder
Stephan Lichtsteiner,Defender
Marco Richter,Midfielder
André Hahn,Midfielder
Reece Oxford,Defender
Georg Teigl,Midfielder
