Player,role
Niclas Füllkrug,Forward
Milot Rashica,Midfielder
Nuri Şahin,Midfielder
Stefanos Kapino,Goalkeeper
Davy Klaassen,Midfielder
Yuya Osako,Forward
Niklas Moisander,Defender
Marco Friedl,Defender
Kevin Vogt,Defender
Ludwig Augustinsson,Defender
Theodor Gebre Selassie,Defender
Josh Sargent,Forward
Leonardo Bittencourt,Midfielder
Jiří Pavlenka,Goalkeeper
Maximilian Eggestein,Midfielder
Ömer Toprak,Defender
Miloš Veljković,Defender
Philipp Bargfrede,Midfielder
Davie Selke,Forward
Kevin Möhwald,Midfielder
Michael Lang,Defender
Claudio Pizarro,Forward
Christian Groß,Midfielder
Johannes Eggestein,Forward
Sebastian Langkamp,Defender
Nick Woltemade,Forward
Fin Bartels,Midfielder
Luc Ihorst,Forward
Benjamin Goller,Midfielder
Martin Harnik,Forward
