Player,role
Kevin Stöger,Midfielder
Erik Thommy,Midfielder
Kenan Karaman,Forward
Rouwen Hennings,Forward
Robin Bormuth,Defender
Kaan Ayhan,Defender
Lewis Baker,Midfielder
Markus Suttner,Defender
Niko Giesselmann,Midfielder
Zack Steffen,Goalkeeper
Andre Hoffmann,Defender
Oliver Fink,Midfielder
Florian Kastenmeier,Goalkeeper
Kasim Adams,Defender
Valon Berisha,Midfielder
Matthias Zimmermann,Defender
Adam Bodzek,Midfielder
Alfredo Morales,Midfielder
Dawid Kownacki,Forward
Marcel Sobottka,Midfielder
Zanka,Defender
Steven Skrzybski,Forward
Thomas Pledl,Midfielder
Jean Zimmer,Midfielder
Nana Ampomah,Forward
Bernard Tekpetey,Forward
Aymen Barkok,Midfielder
Kelvin Ofori,Midfielder
