Player,role
Simon Falette,Defender
Filip Kostić,Midfielder
Frederik Rønnow,Goalkeeper
Bas Dost,Forward
André Silva,Forward
Martin Hinteregger,Defender
Danny da Costa,Midfielder
Almamy Touré,Defender
Timothy Chandler,Midfielder
Gonçalo Paciência,Forward
Stefan Ilsanker,Defender
Daichi Kamada,Midfielder
Sebastian Rode,Midfielder
Djibril Sow,Midfielder
Kevin Trapp,Goalkeeper
Dominik Kohr,Midfielder
David Abraham,Defender
Makoto Hasebe,Defender
Mijat Gaćinović,Midfielder
Ante Rebić,Forward
Lucas Torró,Midfielder
Evan Ndicka,Defender
Jonathan de Guzmán,Midfielder
Erik Durm,Defender
Gelson Fernandes,Midfielder
Dejan Joveljić,Forward
Felix Wiedwald,Goalkeeper
