Player,role
Sebastian Schonlau,Defender
Uwe Hünemeier,Defender
Dennis Srbeny,Forward
Kai Pröger,Midfielder
Leopold Zingerle,Goalkeeper
Klaus Gjasula,Midfielder
Antony Evans,Midfielder
Marlon Ritter,Midfielder
Jamilu Collins,Defender
Christian Strohdiek,Defender
Streli Mamba,Forward
Abdelhamid Sabiri,Midfielder
Samúel Kári Friðjónsson,Midfielder
Luca Kilian,Defender
Sebastian Vasiliadis,Midfielder
Cauly,Midfielder
Sven Michel,Forward
Christopher Antwi-Adjei,Forward
Laurent Jans,Defender
Ben Zolinski,Midfielder
Khiry Shelton,Forward
Dennis Jastrzembski,Midfielder
Gerrit Holtmann,Forward
Mohamed Dräger,Defender
Babacar Guèye,Forward
Jannik Huth,Goalkeeper
Jan Luca Rumpf,Defender
