Player,role
Jadon Sancho,Midfielder
Erling Haaland,Forward
Raphaël Guerreiro,Defender
Mats Hummels,Defender
Emre Can,Midfielder
Marco Reus,Midfielder
Ansgar Knauff,Midfielder
Manuel Akanji,Defender
Axel Witsel,Midfielder
Mahmoud Dahoud,Midfielder
Thomas Delaney,Midfielder
Thomas Meunier,Defender
Felix Passlack,Defender
Jude Bellingham,Midfielder
Giovanni Reyna,Midfielder
Mateu Morey,Defender
Thorgan Hazard,Midfielder
Julian Brandt,Midfielder
Steffen Tigges,Forward
Marwin Hitz,Goalkeeper
Roman Bürki,Goalkeeper
Youssoufa Moukoko,Forward
Reinier,Midfielder
Łukasz Piszczek,Defender
Dan-Axel Zagadou,Defender
Nico Schulz,Defender
