Player,role
Matheus Cunha,Forward
Jhon Córdoba,Forward
Vladimír Darida,Midfielder
Dedryck Boyata,Defender
Santiago Ascacibar,Midfielder
Alexander Schwolow,Goalkeeper
Lucas Tousart,Midfielder
Mattéo Guendouzi,Midfielder
Maximilian Mittelstädt,Defender
Omar Alderete,Defender
Niklas Stark,Defender
Márton Dárdai,Defender
Sami Khedira,Midfielder
Dodi Lukebakio,Forward
Peter Pekarík,Defender
Marvin Plattenhardt,Defender
Nemanja Radonjić,Midfielder
Jordan Torunarigha,Defender
Krzysztof Piątek,Forward
Rune Jarstein,Goalkeeper
Jessic Ngankam,Forward
Javairô Dilrosun,Midfielder
Jonas Michelbrink,Midfielder
Lukas Klünter,Defender
Mathew Leckie,Midfielder
Luca Netz,Defender
Eduard Löwen,Midfielder
Daishawn Redan,Forward
Deyovaisio Zeefuik,Defender
Jonas Dirkner,Midfielder
