Player,role
Andrej Kramarić,Forward
Ermin Bičakčić,Defender
Florian Grillitsch,Defender
Philipp Pentke,Goalkeeper
Dennis Geiger,Midfielder
Chris Richards,Defender
Ihlas Bebou,Forward
Christoph Baumgartner,Midfielder
Diadié Samassékou,Midfielder
Oliver Baumann,Goalkeeper
Sargis Adamyan,Forward
Kevin Akpoguma,Defender
Robert Skov,Midfielder
Håvard Nordtveit,Defender
Sebastian Rudy,Midfielder
Ryan Sessegnon,Midfielder
Kasim Adams,Defender
Kevin Vogt,Defender
Pavel Kadeřábek,Defender
Stefan Posch,Defender
Munas Dabbur,Forward
Marco John,Defender
Georginio Rutter,Forward
Mijat Gaćinović,Midfielder
Melayro Bogarde,Midfielder
Ishak Belfodil,Forward
João Klauss,Forward
Maximilian Beier,Forward
Jacob Bruun Larsen,Forward
