Player,role
Max Kruse,Forward
Christopher Trimmel,Midfielder
Marvin Friedrich,Defender
Christopher Lenz,Defender
Sheraldo Becker,Forward
Loris Karius,Goalkeeper
Robert Andrich,Midfielder
Nico Schlotterbeck,Defender
Robin Knoche,Defender
Florian Hübner,Defender
Grischa Prömel,Midfielder
Andreas Luthe,Goalkeeper
Joel Pohjanpalo,Forward
Petar Musa,Forward
Marius Bülter,Midfielder
Christian Gentner,Midfielder
Cedric Teuchert,Forward
Marcus Ingvartsen,Forward
Keita Endo,Midfielder
Julian Ryerson,Midfielder
Akaki Gogia,Midfielder
Taiwo Awoniyi,Forward
Niko Giesselmann,Midfielder
Tim Maciejewski,Forward
Sebastian Griesbeck,Defender
Leon Dajaku,Midfielder
