Player,role
Stefanos Kapino,Goalkeeper
Stefan Ortega,Goalkeeper
Amos Pieper,Defender
Guilherme Ramos,Defender
Joakim Nilsson,Defender
Cedric Brunner,Defender
Alessandro Schöpf,Midfielder
Patrick Wimmer,Midfielder
Mike van der Hoorn,Defender
Fabian Klos,Forward
Masaya Okugawa,Midfielder
Edimilson Fernandes,Midfielder
Gonzalo Castro,Forward
Jacob Laursen,Defender
Janni Serra,Forward
Manuel Prietl,Midfielder
Bryan Lasme,Forward
Fabian Kunze,Midfielder
Andrés Andrade,Defender
Florian Krüger,Forward
Burak Ince,Midfielder
Sebastian Vasiliadis,Midfielder
Robin Hack,Midfielder
Nathan De Medina,Defender
George Bello,Defender
Lennart Czyborra,Midfielder
