Player,role
Danilo Soares,Defender
Manuel Riemann,Goalkeeper
Simon Zoller,Forward
Anthony Losilla,Midfielder
Danny Blum,Forward
Maxim Leitsch,Defender
Sebastian Polter,Forward
Konstantinos Stafylidis,Defender
Erhan Mašović,Defender
Miloš Pantović,Midfielder
Jürgen Locadia,Forward
Armel Bella-Kotchap,Defender
Michael Esser,Goalkeeper
Eduard Löwen,Midfielder
Cristian Gamboa,Defender
Vasilis Lampropoulos,Defender
Takuma Asano,Forward
Soma Novothny,Forward
Gerrit Holtmann,Forward
Saulo Decarli,Defender
Elvis Rexhbeçaj,Midfielder
Herbert Bockhorn,Defender
Christopher Antwi-Adjei,Forward
Tarsis Bonga,Forward
Patrick Osterhage,Midfielder
Silvère Ganvoula,Forward
Robert Tesche,Midfielder
