Player,role
Max Christiansen,Midfielder
Branimir Hrgota,Forward
Andreas Linde,Goalkeeper
Marco Meyerhofer,Defender
Timothy Tillman,Midfielder
Sascha Burchert,Goalkeeper
Gian-Luca Itter,Defender
Jamie Leweling,Forward
Jessic Ngankam,Forward
Sebastian Griesbeck,Defender
Cédric Itten,Forward
Nick Viergever,Defender
Jetro Willems,Defender
Julian Green,Midfielder
Paul Seguin,Midfielder
Hans Nunoo Sarpei,Midfielder
Jeremy Dudziak,Midfielder
Justin Hoogma,Defender
Dickson Abiama,Forward
Håvard Nielsen,Forward
Tobias Raschl,Midfielder
Maximilian Bauer,Defender
Simon Asta,Defender
Afimico Pululu,Midfielder
Nils Seufert,Midfielder
Adrian Fein,Midfielder
Abdourahmane Barry,Defender
Gideon Jung,Defender
Marius Funk,Goalkeeper
