Player,role
Christopher Nkunku,Forward
Willi Orbán,Defender
Angeliño,Midfielder
Joško Gvardiol,Defender
Dominik Szoboszlai,Midfielder
Dani Olmo,Forward
Mohamed Simakan,Defender
Marcel Halstenberg,Defender
Amadou Haidara,Midfielder
Lukas Klostermann,Defender
Benjamin Henrichs,Midfielder
Emil Forsberg,Midfielder
Konrad Laimer,Midfielder
Péter Gulácsi,Goalkeeper
Kevin Kampl,Midfielder
Nordi Mukiele,Defender
André Silva,Forward
Yussuf Poulsen,Forward
Tyler Adams,Midfielder
Brian Brobbey,Forward
Hugo Novoa Ramos,Midfielder
Hee-Chan Hwang,Forward
Solomon Bonnah,Defender
Joscha Wosz,Midfielder
Ilaix Moriba,Midfielder
Josep Martínez,Goalkeeper
