Player,role
Maximilian Arnold,Midfielder
Jonas Wind,Forward
Max Kruse,Forward
Maxence Lacroix,Defender
Wout Weghorst,Forward
John Brooks,Defender
Josip Brekalo,Forward
Paulo Otávio,Defender
Koen Casteels,Goalkeeper
Josuha Guilavogui,Midfielder
Pavao Pervan,Goalkeeper
Ridle Baku,Defender
Yannick Gerhardt,Midfielder
Xaver Schlager,Midfielder
Sebastiaan Bornauw,Defender
Aster Vranckx,Midfielder
Micky van de Ven,Defender
Lukas Nmecha,Forward
Renato Steffen,Midfielder
Kevin Mbabu,Defender
Daniel Ginczek,Forward
Maximilian Philipp,Forward
Jérôme Roussillon,Midfielder
Dodi Lukebakio,Forward
Kevin Paredes,Midfielder
Luca Waldschmidt,Forward
Felix Nmecha,Midfielder
Bartosz Białek,Forward
Admir Mehmedi,Midfielder
